Comment,Designator,Footprint,LCSC Part #
1N4148,D1 D2,SOD-323F,
1k,R7,R0603,
10uf,C5,C0805K,
47k,R5 R6,R0603,
100k,R1,R0603,
100n,C1 C3 C4,C0603K,
220,R2,R0603,
MB1S,B1,SOIC-4,
TL072_SMD,U1,SO08,
mmbt3904,T1,SOT23-BEC,
